FCF;FC Fredericia;P;Nordicbet;
FCN;FC Nordsjælland;P;Superligaen;
FCK;FC København;W;Superligaen;
VFF;Viborg FF;P;Superligaen;
AGF;Aarhus Gymnasticforening;C;Superligaen;
FA;Fremad Amager;;Nordicbet;
FCH;FC Helsingør;P;Nordicbet;
HIK;Hobro IK;;Nordicbet;
RFC;Randers FC;R;Superligaen;
BIF;Brøndby IF;;Superligaen;
HBK;HB Køge;;Nordicbet;
HF;Hillerød Fodbold;R;Nordicbet;
SIF;Silkeborg IF;C;Superligaen;
FCM;FC Midtjylland;;Superligaen;
HIF;Hvidovre IF;R;Nordicbet;
OB;Odense Boldklub;;Superligaen;
ACH;AC Horsens;;Superligaen;
VFF;Vendsyssel FF;;Nordicbet;
NBK;Næstved BK;;Nordicbet;
LBK;Lyngby Boldklub;;Superligaen;
VB;Vejle Boldklub;C;Nordicbet;
SJ;Sønderjyske;R;Nordicbet;
NFC;Nykøbing FC;W;Nordicbet;
AAB;Aarlborg Boldspilklub;;Superligaen;
